h,T,V,E_G,E_total,virial_mismatch_abs,virial_mismatch_rel
0.005,0.47139164066479344,0.4714158300014657,0.47139164066479344,0.9428074706662591,0.00011810656026876011,6.0791695549872006e-05
0.01,0.4713891821132008,0.47141357480599533,0.4713891821132008,0.9428027569191961,9.808396473933776e-05,5.048580685302024e-05
0.02,0.4713795558469829,0.47140434602561515,0.4713795558469829,0.9427839018725981,0.00012089443531600153,6.222742282323556e-05
