iter,E,residual_L2,virial_mismatch_rel,h
0,0.9427839020040978,0.0008929414431740522,0.0004596195399050454,0.02
1,0.942783901872598,0.00012089443531600153,6.222742282323556e-05,0.02
0,0.9428027571484723,0.614079864825528,0.31607936655743535,0.01
1,0.9428027569319632,0.0030529929068861825,0.0015714373968191244,0.01
2,0.9428027569191961,9.808396473933776e-05,5.048580685302024e-05,0.01
0,0.9428074706871168,0.614077246547531,0.31607725202454007,0.005
1,0.9428074706703101,0.0015352874069776382,0.0007902416632400179,0.005
2,0.942807470666259,0.00011810656026876011,6.0791695549872006e-05,0.005
