h,T,V,E,Rvir
0.005,0.4714051100387462,0.471403931533204,0.9428090415719501,1.1785055422097734e-06
0.01,0.4714068776852099,0.4714021637350396,0.9428090414202495,4.713950170265324e-06
0.02,0.4714139467162814,0.47139509227663173,0.9428090389929131,1.8854439649662602e-05
